word,vowel,token,type,repetition,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,p0_id,p0prominence,a1p0_h1,a1p0_h2,a1p0_h3,a1p0,a1p0_compensated,freq_p1,amp_p1,a1p1,a1p1_compensated,a3p0,vwl_amp_rms,vwl_duration,timepoint,point_time,point_vwlpct,attempted_fix,status,errorflag,nasal,oral,nasalance,murmur,cog,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13
meme,i,181,nasal,10,366,42.42,159,1721,-1.31,1992,2573,9.72,199,129,43.36,237,41.86,42.42,43.36,129,H1,1.5,-0.94,0.56,-0.00024,-0.94,1.16508,861,17.12,25.3,26.65991,-33.63676,0.0423729778,147,10,330.484782,100,None,Auto,None,73.8306951449377,65.8739029484215,0.52847720227218,1.04351563918803,376.827569708879,575.031948268817,58.7990043340478,118.16142761532,104.008677931551,-5.79711939504062,-59.0125619596353,-61.5114354886467,14.9046756904377,20.7238877454358,-1.65517267885238,-23.8089397833405,-55.1784272513435,-4.83026070124746
band,ae,182,nd,10,345,-12.74,306,1855,-32.21,810,2852,-35.35,790,86,15.78,237,6.35,7.23,15.78,86,H1,9.42,-28.52,-19.09,-19.97005,-28.52,-26.49406,904,-27.03,14.29,15.9491,-51.128,0.0343547385,209,1,331.929843,0,None,Auto,HarmDev,50.4070103282251,77.6548684470583,0.393614483953315,1.10415547909632,434.152765519697,568.286017534411,-39.3338176624009,37.3104958821221,79.3293283757264,28.2036776609218,13.0883711714144,-53.0781217042839,-29.5865364551916,12.0544226328623,33.7052914805493,53.2793475978795,28.6941061014933,28.5268999563231
band,ae,182,nd,10,517,36.46,86,1966,19.28,168,2529,10.37,333,108,39.14,215,36.48,30.5,39.14,108,H1,2.67,-2.68,-0.02,5.95946,-2.68,-0.64369,861,15.98,20.48,22.63297,-28.77307,0.0343547385,209,2,331.953042,11.11,None,Auto,None,50.6432251165499,72.2705267735015,0.412022449382647,1.01193192048673,515.702333805167,564.949463732311,-27.1721939329832,37.3273103766469,50.6763389787223,12.2204339009495,-16.8658203750868,-90.3695201331336,-26.3602373639536,24.9463689668186,21.1582993844905,59.5059375209983,16.94328648093,12.4193310497383
band,ae,182,nd,10,517,35.24,110,2064,15.39,243,2925,8.63,627,108,38.58,215,36.17,29.85,38.58,108,H1,2.41,-3.34,-0.93,5.38724,-3.34,-1.30338,861,14.74,20.5,22.57357,-29.94686,0.0343547385,209,3,331.976241,22.22,None,Auto,None,56.5750892609062,70.9449207532651,0.443656562249477,1.01545815674501,231.518124958593,582.231764693698,-21.012359101229,41.0094108832964,52.6679161121301,16.9499331172835,-15.292210019137,-65.6607196241309,-25.0797456029163,30.9962973030193,22.1491792524812,-0.490099594695167,15.7341598692335,2.40946060120963
band,ae,182,nd,10,624,35.29,65,2075,17.65,176,2755,10.19,367,108,40.14,215,37.38,31.38,40.14,108,H1,2.76,-4.85,-2.09,3.90507,-4.85,-2.81741,861,18.23,17.06,19.42092,-29.95204,0.0343547385,209,4,331.999439,33.33,None,Auto,None,64.7417735505828,68.815491052056,0.484749172897508,1.03977660857534,121.522128512361,549.108512527987,11.5791023909479,66.4878581275529,71.0339742768233,11.9484532523511,-32.1910746117063,-66.3085855750012,1.64337352006846,44.065509935013,50.2190071360058,25.7188361572189,8.05044371694564,1.86596606129082
band,ae,182,nd,10,538,35.17,99,2070,17.47,238,2745,13.62,279,108,40.51,215,37.77,32.37,40.51,108,H1,2.74,-5.34,-2.6,2.80396,-5.34,-3.30957,861,23.67,11.5,14.0183,-26.89195,0.0343547385,209,5,332.022638,44.44,None,Auto,None,66.4891200353895,67.9625042459141,0.494520764556024,1.04600428623292,119.479439028519,568.617747808813,-14.3179229604809,57.1755369707571,81.8377687803582,6.34119895939475,-31.0533597937559,-48.4796826281973,11.7433778580172,28.2082418701508,47.0364354334685,8.34355619157548,-11.8562257583869,-3.32180619339184
band,ae,182,nd,10,538,34.02,135,2162,13.74,507,2655,9.91,712,108,40.32,215,37.49,32.06,40.32,108,H1,2.84,-6.3,-3.47,1.95772,-6.3,-4.27092,883,21.89,12.13,14.5371,-30.40978,0.0343547385,209,6,332.045836,55.56,None,Auto,None,66.4661109530766,67.4180244293071,0.496445010181708,1.05174031981588,444.15514783178,574.41315323088,14.3593160145721,32.7338353327046,70.8976649609834,-6.85650793080785,-59.9700524012675,-40.7168739377357,-1.929485032073,45.8816492966731,52.5690753786277,4.93778169838288,-13.3314656574035,3.61039856887235
band,ae,182,nd,10,560,35.36,168,2015,14.52,551,2547,10.11,624,108,40.72,215,37.2,32.49,40.72,108,H1,3.52,-5.36,-1.84,2.8696,-5.36,-3.33033,904,21.68,13.68,15.94375,-30.60619,0.0343547385,209,7,332.069035,66.67,None,Auto,None,67.1146868935767,67.7554204543722,0.497624627230619,1.04233186751638,569.740375801204,597.120994205863,-38.5247388177535,31.1154914899467,54.9624366583093,-11.9869867104859,-38.4363018232024,-47.2893685940704,-9.24490095435688,26.8880395372627,47.4140907575592,13.6818944134091,-19.5029257332304,-6.62228540934718
band,ae,182,nd,10,581,35.61,142,1965,17.96,283,2709,12.61,358,108,40.56,237,37.43,33.28,40.56,108,H1,3.12,-4.95,-1.82,2.33366,-4.95,-2.92051,926,23.75,11.86,14.1485,-27.94668,0.0343547385,209,8,332.092233,77.78,None,Auto,None,67.3347773299517,67.9973701356772,0.497551975572198,1.03746234744733,263.356401571576,575.72711308923,-2.16537126614852,32.260648423816,35.5508709359042,4.79551535962665,-19.6735206927511,-43.5660968403484,-2.48883731447484,30.2973827439604,49.6827346151408,17.615403067369,-13.5678893410874,-2.14685544071678
band,ae,182,nd,10,581,37.81,142,1899,21.23,234,2749,9.83,382,108,40.55,237,38.36,34.59,40.55,108,H1,2.19,-2.74,-0.55,3.22417,-2.74,-0.70887,926,25.76,12.05,14.27001,-30.71835,0.0343547385,209,9,332.115432,88.89,None,Auto,None,68.0781772689282,68.3854930748207,0.498874001391292,1.02271745668623,599.291456057956,590.777058837895,15.5059016531513,33.394146850181,6.34588581153988,9.25445404038468,-27.820066840374,-48.68797563145,-16.9536811058092,-0.982735919076853,66.3817024038425,48.8294625830231,-42.4320049891745,18.7944741605127
